size_fact_key,project_key,person_key,team_key,wbs_element_key,plan_item_key,size_added_and_modified,size_added,size_base,size_deleted,size_modified,size_reused,size_total,measurement_type_key,measurement_type_name,size_metric_key,size_metric_name,size_metric_short_name,phase_key,phase_short_name,process_key,process_name,row_current_flag
28461,246,822,84,39888,223544,1852,1852,0,0,0,0,1852,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28462,246,822,84,39888,223544,200,200,200,0,0,0,400,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28466,246,825,84,39812,223556,386,276,1613,526,110,0,1363,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28467,246,825,84,39812,223556,370,185,1441,60,185,0,1566,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25521,246,825,84,39855,223568,30,30,100,0,0,0,130,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28491,246,825,84,39872,223580,486,338,1106,397,148,0,1047,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28492,246,825,84,39872,223580,150,60,1167,0,90,0,1227,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28485,246,825,84,39848,223592,83,49,974,63,34,0,960,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28486,246,825,84,39848,223592,60,0,1128,0,60,0,1128,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25527,246,825,84,39871,223604,30,30,100,0,0,0,130,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25505,246,825,84,39807,223616,30,30,100,0,0,0,130,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25507,246,825,84,39810,223628,30,30,100,0,0,0,130,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28522,246,826,84,39890,223640,1305,1260,279,0,45,0,1539,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28523,246,826,84,39890,223640,300,300,100,0,0,0,400,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28429,246,821,84,39889,223652,150,150,100,0,0,0,250,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25445,246,821,84,39854,223664,750,750,0,0,0,0,750,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28425,246,821,84,39858,223676,400,400,300,0,0,0,700,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28436,246,821,84,39904,223688,150,150,500,0,0,0,650,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25532,246,825,84,39893,223712,90,90,300,0,0,0,390,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28504,246,824,84,39844,223724,946,946,384,0,0,0,1330,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28505,246,824,84,39844,223724,691.6950073242188,691.69500732,300,0,0,0,991.69500732,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28452,246,822,84,39857,223736,237,132,564,106,105,0,590,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28453,246,822,84,39857,223736,90,5,630,61,85,0,574,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28468,246,825,84,39813,223748,227,174,481,153,53,0,502,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28469,246,825,84,39813,223748,165.25799560546875,95.258003235,346,0,70,0,441.25799561,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25488,246,823,84,39899,223760,200,200,200,0,0,0,400,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28448,246,823,84,39899,223760,1554,1279,2434,1616,275,0,2097,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25473,246,823,84,39808,223772,80,80,100,0,0,0,180,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28438,246,823,84,39808,223772,94,61,1171,59,33,0,1173,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25472,246,823,84,39805,223784,80,80,100,0,0,0,180,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
